language,transform,flags,changed_diff
hrg,compact_comparisons,--compact-reachability,0.0
hrg,compact_comparisons,--compact-skip-edges,0.0
hrg,compact_comparisons,--inline-assignment,0.0
hrg,compact_comparisons,--inline-reachability,0.0
hrg,compact_comparisons,--join-exclusive-edges,0.0
hrg,compact_comparisons,--join-fork-prefixes,0.0
hrg,compact_comparisons,--join-fork-suffixes,0.0
hrg,compact_comparisons,--merge-accesses,0.0
hrg,compact_comparisons,--propagate-constants,0.0
hrg,compact_comparisons,--prune-self-loops,0.0
hrg,compact_comparisons,--prune-singleton-types,0.0
hrg,compact_comparisons,--prune-unreachable-nodes,0.0
hrg,compact_comparisons,--prune-unused-constants,0.0
hrg,compact_comparisons,--prune-unused-variables,0.0
hrg,compact_comparisons,--reorder-conditions,0.0
hrg,compact_comparisons,--skip-artificial-tags,0.0
hrg,compact_comparisons,--skip-redundant-tags,0.0
hrg,compact_comparisons,--skip-self-assignments,0.0
hrg,compact_comparisons,--skip-self-comparisons,0.0
hrg,compact_comparisons,--skip-unused-tags,0.0
hrg,compact_reachability,--compact-comparisons,0.0
hrg,compact_reachability,--compact-skip-edges,-3800.0
hrg,compact_reachability,--inline-assignment,0.0
hrg,compact_reachability,--inline-reachability,0.0
hrg,compact_reachability,--join-exclusive-edges,0.0
hrg,compact_reachability,--join-fork-prefixes,0.0
hrg,compact_reachability,--join-fork-suffixes,0.0
hrg,compact_reachability,--merge-accesses,0.0
hrg,compact_reachability,--propagate-constants,0.0
hrg,compact_reachability,--prune-self-loops,0.0
hrg,compact_reachability,--prune-singleton-types,0.0
hrg,compact_reachability,--prune-unreachable-nodes,0.0
hrg,compact_reachability,--prune-unused-constants,0.0
hrg,compact_reachability,--prune-unused-variables,0.0
hrg,compact_reachability,--reorder-conditions,0.0
hrg,compact_reachability,--skip-artificial-tags,0.0
hrg,compact_reachability,--skip-redundant-tags,0.0
hrg,compact_reachability,--skip-self-assignments,0.0
hrg,compact_reachability,--skip-self-comparisons,0.0
hrg,compact_reachability,--skip-unused-tags,0.0
hrg,compact_skip_edges,--compact-comparisons,0.0
hrg,compact_skip_edges,--compact-reachability,-1.56
hrg,compact_skip_edges,--inline-assignment,37.5
hrg,compact_skip_edges,--inline-reachability,1.56
hrg,compact_skip_edges,--join-exclusive-edges,1.56
hrg,compact_skip_edges,--join-fork-prefixes,14.06
hrg,compact_skip_edges,--join-fork-suffixes,-1.56
hrg,compact_skip_edges,--merge-accesses,0.0
hrg,compact_skip_edges,--propagate-constants,1.56
hrg,compact_skip_edges,--prune-self-loops,0.0
hrg,compact_skip_edges,--prune-singleton-types,0.0
hrg,compact_skip_edges,--prune-unreachable-nodes,0.0
hrg,compact_skip_edges,--prune-unused-constants,0.0
hrg,compact_skip_edges,--prune-unused-variables,0.0
hrg,compact_skip_edges,--reorder-conditions,9.38
hrg,compact_skip_edges,--skip-artificial-tags,0.0
hrg,compact_skip_edges,--skip-redundant-tags,0.0
hrg,compact_skip_edges,--skip-self-assignments,0.0
hrg,compact_skip_edges,--skip-self-comparisons,0.0
hrg,compact_skip_edges,--skip-unused-tags,0.0
hrg,inline_assignment,--compact-comparisons,0.0
hrg,inline_assignment,--compact-reachability,0.0
hrg,inline_assignment,--compact-skip-edges,-46.43
hrg,inline_assignment,--inline-reachability,0.0
hrg,inline_assignment,--join-exclusive-edges,0.0
hrg,inline_assignment,--join-fork-prefixes,0.0
hrg,inline_assignment,--join-fork-suffixes,-3.57
hrg,inline_assignment,--merge-accesses,0.0
hrg,inline_assignment,--propagate-constants,0.0
hrg,inline_assignment,--prune-self-loops,0.0
hrg,inline_assignment,--prune-singleton-types,0.0
hrg,inline_assignment,--prune-unreachable-nodes,0.0
hrg,inline_assignment,--prune-unused-constants,0.0
hrg,inline_assignment,--prune-unused-variables,0.0
hrg,inline_assignment,--reorder-conditions,0.0
hrg,inline_assignment,--skip-artificial-tags,0.0
hrg,inline_assignment,--skip-redundant-tags,0.0
hrg,inline_assignment,--skip-self-assignments,0.0
hrg,inline_assignment,--skip-self-comparisons,0.0
hrg,inline_assignment,--skip-unused-tags,0.0
hrg,inline_reachability,--compact-comparisons,0.0
hrg,inline_reachability,--compact-reachability,-100.0
hrg,inline_reachability,--compact-skip-edges,0.0
hrg,inline_reachability,--inline-assignment,100.0
hrg,inline_reachability,--join-exclusive-edges,0.0
hrg,inline_reachability,--join-fork-prefixes,0.0
hrg,inline_reachability,--join-fork-suffixes,0.0
hrg,inline_reachability,--merge-accesses,0.0
hrg,inline_reachability,--propagate-constants,0.0
hrg,inline_reachability,--prune-self-loops,0.0
hrg,inline_reachability,--prune-singleton-types,0.0
hrg,inline_reachability,--prune-unreachable-nodes,0.0
hrg,inline_reachability,--prune-unused-constants,0.0
hrg,inline_reachability,--prune-unused-variables,0.0
hrg,inline_reachability,--reorder-conditions,0.0
hrg,inline_reachability,--skip-artificial-tags,0.0
hrg,inline_reachability,--skip-redundant-tags,0.0
hrg,inline_reachability,--skip-self-assignments,0.0
hrg,inline_reachability,--skip-self-comparisons,0.0
hrg,inline_reachability,--skip-unused-tags,0.0
hrg,join_exclusive_edges,--compact-comparisons,0.0
hrg,join_exclusive_edges,--compact-reachability,0.0
hrg,join_exclusive_edges,--compact-skip-edges,100.0
hrg,join_exclusive_edges,--inline-assignment,0.0
hrg,join_exclusive_edges,--inline-reachability,0.0
hrg,join_exclusive_edges,--join-fork-prefixes,0.0
hrg,join_exclusive_edges,--join-fork-suffixes,0.0
hrg,join_exclusive_edges,--merge-accesses,0.0
hrg,join_exclusive_edges,--propagate-constants,0.0
hrg,join_exclusive_edges,--prune-self-loops,0.0
hrg,join_exclusive_edges,--prune-singleton-types,0.0
hrg,join_exclusive_edges,--prune-unreachable-nodes,0.0
hrg,join_exclusive_edges,--prune-unused-constants,0.0
hrg,join_exclusive_edges,--prune-unused-variables,0.0
hrg,join_exclusive_edges,--reorder-conditions,0.0
hrg,join_exclusive_edges,--skip-artificial-tags,0.0
hrg,join_exclusive_edges,--skip-redundant-tags,0.0
hrg,join_exclusive_edges,--skip-self-assignments,0.0
hrg,join_exclusive_edges,--skip-self-comparisons,0.0
hrg,join_exclusive_edges,--skip-unused-tags,0.0
hrg,join_fork_prefixes,--compact-comparisons,0.0
hrg,join_fork_prefixes,--compact-reachability,0.0
hrg,join_fork_prefixes,--compact-skip-edges,-200.0
hrg,join_fork_prefixes,--inline-assignment,-11.11
hrg,join_fork_prefixes,--inline-reachability,0.0
hrg,join_fork_prefixes,--join-exclusive-edges,0.0
hrg,join_fork_prefixes,--join-fork-suffixes,0.0
hrg,join_fork_prefixes,--merge-accesses,0.0
hrg,join_fork_prefixes,--propagate-constants,11.11
hrg,join_fork_prefixes,--prune-self-loops,0.0
hrg,join_fork_prefixes,--prune-singleton-types,0.0
hrg,join_fork_prefixes,--prune-unreachable-nodes,0.0
hrg,join_fork_prefixes,--prune-unused-constants,0.0
hrg,join_fork_prefixes,--prune-unused-variables,0.0
hrg,join_fork_prefixes,--reorder-conditions,66.67
hrg,join_fork_prefixes,--skip-artificial-tags,0.0
hrg,join_fork_prefixes,--skip-redundant-tags,0.0
hrg,join_fork_prefixes,--skip-self-assignments,0.0
hrg,join_fork_prefixes,--skip-self-comparisons,0.0
hrg,join_fork_prefixes,--skip-unused-tags,0.0
hrg,join_fork_suffixes,--compact-comparisons,0.0
hrg,join_fork_suffixes,--compact-reachability,0.0
hrg,join_fork_suffixes,--compact-skip-edges,-61.54
hrg,join_fork_suffixes,--inline-assignment,0.0
hrg,join_fork_suffixes,--inline-reachability,0.0
hrg,join_fork_suffixes,--join-exclusive-edges,0.0
hrg,join_fork_suffixes,--join-fork-prefixes,0.0
hrg,join_fork_suffixes,--merge-accesses,0.0
hrg,join_fork_suffixes,--propagate-constants,0.0
hrg,join_fork_suffixes,--prune-self-loops,0.0
hrg,join_fork_suffixes,--prune-singleton-types,0.0
hrg,join_fork_suffixes,--prune-unreachable-nodes,0.0
hrg,join_fork_suffixes,--prune-unused-constants,0.0
hrg,join_fork_suffixes,--prune-unused-variables,0.0
hrg,join_fork_suffixes,--reorder-conditions,0.0
hrg,join_fork_suffixes,--skip-artificial-tags,0.0
hrg,join_fork_suffixes,--skip-redundant-tags,0.0
hrg,join_fork_suffixes,--skip-self-assignments,0.0
hrg,join_fork_suffixes,--skip-self-comparisons,0.0
hrg,join_fork_suffixes,--skip-unused-tags,0.0
hrg,merge_accesses,--compact-comparisons,0.0
hrg,merge_accesses,--compact-reachability,0.0
hrg,merge_accesses,--compact-skip-edges,-57.14
hrg,merge_accesses,--inline-assignment,7.14
hrg,merge_accesses,--inline-reachability,0.0
hrg,merge_accesses,--join-exclusive-edges,0.0
hrg,merge_accesses,--join-fork-prefixes,0.0
hrg,merge_accesses,--join-fork-suffixes,0.0
hrg,merge_accesses,--propagate-constants,0.0
hrg,merge_accesses,--prune-self-loops,0.0
hrg,merge_accesses,--prune-singleton-types,0.0
hrg,merge_accesses,--prune-unreachable-nodes,0.0
hrg,merge_accesses,--prune-unused-constants,0.0
hrg,merge_accesses,--prune-unused-variables,0.0
hrg,merge_accesses,--reorder-conditions,0.0
hrg,merge_accesses,--skip-artificial-tags,0.0
hrg,merge_accesses,--skip-redundant-tags,0.0
hrg,merge_accesses,--skip-self-assignments,0.0
hrg,merge_accesses,--skip-self-comparisons,0.0
hrg,merge_accesses,--skip-unused-tags,0.0
hrg,propagate_constants,--compact-comparisons,0.0
hrg,propagate_constants,--compact-reachability,0.0
hrg,propagate_constants,--compact-skip-edges,-12.5
hrg,propagate_constants,--inline-assignment,-12.5
hrg,propagate_constants,--inline-reachability,0.0
hrg,propagate_constants,--join-exclusive-edges,0.0
hrg,propagate_constants,--join-fork-prefixes,0.0
hrg,propagate_constants,--join-fork-suffixes,0.0
hrg,propagate_constants,--merge-accesses,0.0
hrg,propagate_constants,--prune-self-loops,0.0
hrg,propagate_constants,--prune-singleton-types,0.0
hrg,propagate_constants,--prune-unreachable-nodes,0.0
hrg,propagate_constants,--prune-unused-constants,0.0
hrg,propagate_constants,--prune-unused-variables,0.0
hrg,propagate_constants,--reorder-conditions,0.0
hrg,propagate_constants,--skip-artificial-tags,0.0
hrg,propagate_constants,--skip-redundant-tags,0.0
hrg,propagate_constants,--skip-self-assignments,0.0
hrg,propagate_constants,--skip-self-comparisons,0.0
hrg,propagate_constants,--skip-unused-tags,0.0
hrg,prune_self_loops,--compact-comparisons,0.0
hrg,prune_self_loops,--compact-reachability,0.0
hrg,prune_self_loops,--compact-skip-edges,0.0
hrg,prune_self_loops,--inline-assignment,0.0
hrg,prune_self_loops,--inline-reachability,0.0
hrg,prune_self_loops,--join-exclusive-edges,0.0
hrg,prune_self_loops,--join-fork-prefixes,0.0
hrg,prune_self_loops,--join-fork-suffixes,0.0
hrg,prune_self_loops,--merge-accesses,0.0
hrg,prune_self_loops,--propagate-constants,0.0
hrg,prune_self_loops,--prune-singleton-types,0.0
hrg,prune_self_loops,--prune-unreachable-nodes,0.0
hrg,prune_self_loops,--prune-unused-constants,0.0
hrg,prune_self_loops,--prune-unused-variables,0.0
hrg,prune_self_loops,--reorder-conditions,0.0
hrg,prune_self_loops,--skip-artificial-tags,0.0
hrg,prune_self_loops,--skip-redundant-tags,0.0
hrg,prune_self_loops,--skip-self-assignments,0.0
hrg,prune_self_loops,--skip-self-comparisons,0.0
hrg,prune_self_loops,--skip-unused-tags,0.0
hrg,prune_singleton_types,--compact-comparisons,0.0
hrg,prune_singleton_types,--compact-reachability,0.0
hrg,prune_singleton_types,--compact-skip-edges,0.0
hrg,prune_singleton_types,--inline-assignment,0.0
hrg,prune_singleton_types,--inline-reachability,0.0
hrg,prune_singleton_types,--join-exclusive-edges,0.0
hrg,prune_singleton_types,--join-fork-prefixes,0.0
hrg,prune_singleton_types,--join-fork-suffixes,0.0
hrg,prune_singleton_types,--merge-accesses,0.0
hrg,prune_singleton_types,--propagate-constants,0.0
hrg,prune_singleton_types,--prune-self-loops,0.0
hrg,prune_singleton_types,--prune-unreachable-nodes,0.0
hrg,prune_singleton_types,--prune-unused-constants,0.0
hrg,prune_singleton_types,--prune-unused-variables,0.0
hrg,prune_singleton_types,--reorder-conditions,0.0
hrg,prune_singleton_types,--skip-artificial-tags,0.0
hrg,prune_singleton_types,--skip-redundant-tags,0.0
hrg,prune_singleton_types,--skip-self-assignments,0.0
hrg,prune_singleton_types,--skip-self-comparisons,0.0
hrg,prune_singleton_types,--skip-unused-tags,0.0
hrg,prune_unreachable_nodes,--compact-comparisons,0.0
hrg,prune_unreachable_nodes,--compact-reachability,0.0
hrg,prune_unreachable_nodes,--compact-skip-edges,-115.0
hrg,prune_unreachable_nodes,--inline-assignment,0.0
hrg,prune_unreachable_nodes,--inline-reachability,0.0
hrg,prune_unreachable_nodes,--join-exclusive-edges,0.0
hrg,prune_unreachable_nodes,--join-fork-prefixes,0.0
hrg,prune_unreachable_nodes,--join-fork-suffixes,0.0
hrg,prune_unreachable_nodes,--merge-accesses,0.0
hrg,prune_unreachable_nodes,--propagate-constants,0.0
hrg,prune_unreachable_nodes,--prune-self-loops,0.0
hrg,prune_unreachable_nodes,--prune-singleton-types,0.0
hrg,prune_unreachable_nodes,--prune-unused-constants,0.0
hrg,prune_unreachable_nodes,--prune-unused-variables,0.0
hrg,prune_unreachable_nodes,--reorder-conditions,0.0
hrg,prune_unreachable_nodes,--skip-artificial-tags,0.0
hrg,prune_unreachable_nodes,--skip-redundant-tags,0.0
hrg,prune_unreachable_nodes,--skip-self-assignments,0.0
hrg,prune_unreachable_nodes,--skip-self-comparisons,0.0
hrg,prune_unreachable_nodes,--skip-unused-tags,0.0
hrg,prune_unused_constants,--compact-comparisons,0.0
hrg,prune_unused_constants,--compact-reachability,0.0
hrg,prune_unused_constants,--compact-skip-edges,-15.38
hrg,prune_unused_constants,--inline-assignment,7.69
